Id;Created;Changed;IsTerm;NodeId;Status;UserId;CountryId;Title;Name;Iso3166_2Code;SubdivisionType
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Baden-Württemberg (German state);Baden-Württemberg;DE-BW;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Bavaria (German state);Bavaria;DE-BY;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Berlin (German state);Berlin;DE-BE;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Brandenburg (German state);Brandenburg;DE-BB;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Bremen (German state);Bremen;DE-HB;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Hamburg (German state);Hamburg;DE-HH;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Hesse (German state);Hesse;DE-HE;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Mecklenburg-Western Pomerania (German state);Mecklenburg-Western Pomerania;DE-MV;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Lower Saxony (German state);Lower Saxony;DE-NI;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;North Rhine-Westphalia (German state);North Rhine-Westphalia;DE-NW;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Rhineland-Palatinate (German state);Rhineland-Palatinate;DE-RP;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Saarland (German state);Saarland;DE-SL;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Saxony (German state);Saxony;DE-SN;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Saxony-Anhalt (German state);Saxony-Anhalt;DE-ST;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Schleswig-Holstein (German state);Schleswig-Holstein;DE-SH;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4019;Thuringia (German state);Thuringia;DE-TH;State
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Drenthe (Dutch Province);Drenthe;NL-DR;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Flevoland (Dutch Province);Flevoland;NL-FL;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Friesland (Dutch Province);Friesland;NL-FR;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Gelderland (Dutch Province);Gelderland;NL-GE;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Groningen (Dutch Province);Groningen;NL-GR;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Limburg (Dutch Province);Limburg;NL-LI;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;North Brabant (Dutch Province);North Brabant;NL-NB;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;North Holland (Dutch Province);North Holland;NL-NH;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Overijssel (Dutch Province);Overijssel;NL-OV;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Utrecht (Dutch Province);Utrecht;NL-UT;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Zeeland (Dutch Province);Zeeland;NL-ZE;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;South Holland (Dutch Province);South Holland;NL-ZH;Province
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Bonaire (Dutch Special Municipality);Bonaire;NL-BQ1;Special municipality
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Saba (Dutch Special Municipality);Saba;NL-BQ2;Special municipality
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4023;Sint Eustatius (Dutch Special Municipality);Sint Eustatius;NL-BQ3;Special municipality
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Aargau (Swiss Canton);Aargau;CH-AG;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Appenzell Ausserrhoden (Swiss Canton);Appenzell Ausserrhoden;CH-AR;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Appenzell Innerrhoden (Swiss Canton);Appenzell Innerrhoden;CH-AI;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Basel-Landschaft (Swiss Canton);Basel-Landschaft;CH-BL;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Basel-Stadt (Swiss Canton);Basel-Stadt;CH-BS;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Bern (Swiss Canton);Bern;CH-BE;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Fribourg (Swiss Canton);Fribourg;CH-FR;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Genève (Swiss Canton);Genève;CH-GE;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Glarus (Swiss Canton);Glarus;CH-GL;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Graubünden (Swiss Canton);Graubünden;CH-GR;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Jura (Swiss Canton);Jura;CH-JU;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Luzern (Swiss Canton);Luzern;CH-LU;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Neuchâtel (Swiss Canton);Neuchâtel;CH-NE;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Nidwalden (Swiss Canton);Nidwalden;CH-NW;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Obwalden (Swiss Canton);Obwalden;CH-OW;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Sankt Gallen (Swiss Canton);Sankt Gallen;CH-SG;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Schaffhausen (Swiss Canton);Schaffhausen;CH-SH;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Schwyz (Swiss Canton);Schwyz;CH-SZ;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Solothurn (Swiss Canton);Solothurn;CH-SO;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Thurgau (Swiss Canton);Thurgau;CH-TG;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Ticino (Swiss Canton);Ticino;CH-TI;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Uri (Swiss Canton);Uri;CH-UR;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Valais (Swiss Canton);Valais;CH-VS;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Vaud (Swiss Canton);Vaud;CH-VD;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Zug (Swiss Canton);Zug;CH-ZG;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;4024;Zürich (Swiss Canton);Zürich;CH-ZH;Canton
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Blekinge (Swedish County);Blekinge;SE-K;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Dalarnas (Swedish County);Dalarnas;SE-W;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Gotlands (Swedish County);Gotlands;SE-I;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Gävleborgs (Swedish County);Gävleborgs;SE-X;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Hallands (Swedish County);Hallands;SE-N;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Jämtlands (Swedish County);Jämtlands;SE-Z;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Jönköpings (Swedish County);Jönköpings;SE-F;County
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;17;1;1;3991;Kalmar (Swedish County);Kalmar;SE-H;County
