Congress;Congress began;Congress ended;Number
106th Congress;January 3, 1999;January 3, 2001;106
107th Congress;January 3, 2001;January 3, 2003;107
108th Congress;January 3, 2003;January 3, 2005;108
109th Congress;January 3, 2005;January 3, 2007;109
110th Congress;January 3, 2007;January 3, 2009;110
111th Congress;January 3, 2009;January 3, 2011;111
112th Congress;January 3, 2011;January 3, 2013;112
113th Congress;January 3, 2013;January 3, 2015;113
114th Congress;January 3, 2015;January 3, 2017;114
115th Congress;January 3, 2017;January 3, 2019;115
116th Congress;January 3, 2019;January 3, 2021;116
117th Congress;January 3, 2021;January 3, 2023;117
118th Congress;January 3, 2023;January 3, 2025;118
